sample_ind,filename,category,original_label,is_label_changed,predicted_label,loss
0,n01530575_33698.JPEG,n01530575,985,True,893,3.513974666595459
1,n02869837_18993.JPEG,n02869837,452,False,10,9.201362609863281
2,n02493509_12810.JPEG,n02493509,380,False,629,0.1238490417599678
3,n04239074_8920.JPEG,n04239074,799,False,10,9.764427185058594
4,n02098286_3474.JPEG,n02098286,203,False,10,9.17742919921875
5,n02123394_8561.JPEG,n02123394,283,False,830,0.07405455410480499
6,n07697313_21236.JPEG,n07697313,933,False,688,0.13894380629062653
7,n07892512_18889.JPEG,n07892512,966,False,372,0.14194077253341675
8,n02088632_5329.JPEG,n02088632,164,False,444,3.7571942806243896
9,n03840681_1743.JPEG,n03840681,684,False,330,0.3833615481853485
10,n02123394_2342.JPEG,n02123394,283,False,928,0.14604128897190094
11,n01530575_10533.JPEG,n01530575,985,True,677,0.20996931195259094
12,n01530575_1583.JPEG,n01530575,985,True,309,0.15286532044410706
13,n12998815_10816.JPEG,n12998815,992,False,194,0.1747187077999115
14,n04372370_31988.JPEG,n04372370,844,False,10,9.926281929016113
15,n01667778_13622.JPEG,n01667778,36,False,749,0.11915707588195801
16,n01917289_4162.JPEG,n01917289,109,False,354,0.10082238912582397
17,n01530575_35038.JPEG,n01530575,985,True,10,9.516125679016113
18,n03467068_11063.JPEG,n03467068,583,False,821,0.12638673186302185
19,n02834397_5109.JPEG,n02834397,443,False,430,0.1115325540304184
20,n02500267_1167.JPEG,n02500267,384,False,288,0.18182477355003357
21,n01530575_6331.JPEG,n01530575,985,True,10,9.695870399475098
22,n01530575_34020.JPEG,n01530575,985,True,10,9.191205978393555
23,n04335435_16747.JPEG,n04335435,829,False,92,0.11117944121360779
24,n04141327_3174.JPEG,n04141327,777,False,905,0.08882962167263031
25,n01530575_893.JPEG,n01530575,985,True,801,0.06662750989198685
26,n02965783_1152.JPEG,n02965783,475,False,181,0.10267819464206696
27,n02123045_648.JPEG,n02123045,281,False,459,0.6261731386184692
28,n02834397_8751.JPEG,n02834397,443,False,292,0.395007848739624
29,n01530575_7205.JPEG,n01530575,985,True,243,0.15658068656921387
30,n02101388_4358.JPEG,n02101388,215,False,49,0.22940991818904877
31,n01530575_5860.JPEG,n01530575,985,True,651,3.80910325050354
32,n01697457_5967.JPEG,n01697457,49,False,0,0.0
